,CITATION NUMBER,OFF FROM DATE,OFF TIME,RACE-ORIGIN CODE,CASE PARTY SEX,REASON FOR STOP,RACE KNOWN,VL STREET NAME,MSEARCH Y/N,MSEARCH TYPE,MSEARCH FOUND,latitude,longitude
176,13738702.0,01/05/2015 12:00:00 AM,22:58:00,W,M,1.0,N,4100 BLOCK RED RIVER STREET,N,,,30.299776,-97.72236
177,13738703.0,01/05/2015 12:00:00 AM,0:00:00,B,M,1.0,N,5100 BLOCK NORTH IH 35,Y,3.0,5.0,30.569487,-97.69596039999999
178,13738704.0,01/12/2015 12:00:00 AM,1:00:00,W,M,1.0,N,45TH STREET,N,,,30.3157714,-97.7424829
179,13738705.0,01/13/2015 12:00:00 AM,18:14:00,W,M,1.0,N,5100 BLOCK NORTH IH 35 SERVICE ROAD,N,,,30.569487,-97.69596039999999
180,13738706.0,01/13/2015 12:00:00 AM,19:05:00,W,M,1.0,N,3800 BLOCK NORTH IH 35,N,,,30.2945566,-97.72043330000001
181,13738707.0,01/06/2015 12:00:00 AM,1:03:00,H,M,1.0,N,5000 BLOCK NORTH IH 35,N,,,30.2053185,-97.7607146
182,13738708.0,01/11/2015 12:00:00 AM,18:19:00,W,F,1.0,N,800 BLOCK EAST 51ST STREET,N,,,30.312458,-97.71642
183,13738709.0,01/12/2015 12:00:00 AM,0:22:00,W,M,1.0,N,45TH STREET,N,,,30.3157714,-97.7424829
184,13739264.0,11/13/2015 12:00:00 AM,8:46:00,B,M,1.0,N,600 BLOCK NORTH PLEASANT VALLEY,N,,,30.257929,-97.71049
185,13739265.0,11/13/2015 12:00:00 AM,21:54:00,H,M,1.0,N,EAST OLTORF,Y,3.0,5.0,30.2253084,-97.725376
186,13739266.0,11/14/2015 12:00:00 AM,23:26:00,H,M,1.0,N,1800 BLOCK EAST RIVERSIDE DRIVE,Y,3.0,6.0,30.24317,-97.729195
187,13739267.0,11/15/2015 12:00:00 AM,1:05:00,H,M,1.0,N,1700 BLOCK EAST OLTORF,N,,,30.232948,-97.73842
